iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,flags
http://rs.rebipp.org.br/ppi/terms/version/floralAttractants-2021-12-03,floralAttractants,Floral Attractants,"Types of attractants (visual, chemical or tactile) present in the flowers that floral visitors may use to locate them and their resources",Recommended best practice is to separate the values in a list with space vertical bar space ( | ) and to use a controlled vocabulary,"`visual`, `chemical`, `visual | tactile`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/floralAttractants,simple
http://rs.rebipp.org.br/ppi/terms/version/ovuleQuantity-2021-12-03,ovuleQuantity,Ovule Quantity,The total amount of ovules in a flower,,"`3`, `4`, `10`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/ovuleQuantity,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerLongevity-2021-12-03,flowerLongevity,Flower Longevity,The total amount of hours comprising the time between flower opening and flower senescence,"A flower is considered opened when its petals are fully open regardless of anther maturation and stigma receptivity, and flower senescence is when floral parts begin to wilt and fall off or the ovary starts to develop into fruit","`1`, `8`, `72`, `120`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerLongevity,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningPeriod-2021-12-03,flowerOpeningPeriod,Flower Opening Period,The time or interval during which a chasmogamous flower opens exposing its reproductive parts,Recommended best practice is to use a time interval that conforms to ISO  8601-1:2019.,`06:00:00Z/12:30:00Z` (the interval between 6am UTC and 12:30pm UTC),http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerOpeningPeriod,simple
http://rs.rebipp.org.br/ppi/terms/version/functionalFlowerLifespanInHours-2021-12-03,functionalFlowerLifespanInHours,Functional Flower Lifespan In Hours,The total amount of hours during which a flower is sexually functional,"The period of time when stigma is receptive to the germination of pollen grains, ovules are receptive to the pollen tubes or anthers present viable pollen grains","`1`, `8`, `72`, `120`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/functionalFlowerLifespanInHours,simple
http://rs.rebipp.org.br/ppi/terms/version/Interaction-2021-12-03,Interaction,Interaction,An interaction event that occurs at some location during some time.,,A bee visits a flower of a plant,,2021-12-03,recommended,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/Interaction,simple
http://rs.rebipp.org.br/ppi/terms/version/visitedFlowerSex-2021-12-03,visitedFlowerSex,Visited Flower Sex,The sex of the visited flower,Recommended best practice is to use a controlled vocabulary,"`bisexual`, `male`, `female`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/visitedFlowerSex,simple
http://rs.rebipp.org.br/ppi/terms/version/animalPlaceOfContact-2021-12-03,animalPlaceOfContact,Animal Place Of Contact,A list (concatenated and separated) of the animal body parts that contact the plant during the interaction,Recommended best practice is to separate the values in a list with space vertical bar space ( `|` ) and to use a controlled vocabulary,"`leg`, `beak', `abdomen`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/animalPlaceOfContact,simple
http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPart-2021-12-03,nectarCollectingBodyPart,Nectar Collecting Body Part,The animal body part used to collect nectar from the plant nectaries,The plant nectaries can be floral or extrafloral nectaries. Recommended best practice is to use a controlled vocabulary such as Uberon or the Hymenoptera Anatomy Ontology,"`glossa`, `bill`, `tongue`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/nectarCollectingBodyPart,simple
http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPartLengthInMilimiters-2021-12-03,nectarCollectingBodyPartLengthInMilimiters,Nectar Collecting Body Part Length In Milimiters,The length in millimeters of the body part used to collect nectar from the plant nectaries,"If reporting this value, the `nectarCollectingBodyPart` should also be provided.","`12`,  `100`",http://rs.rebipp.org.br/ppi/terms/Interaction,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/nectarCollectingBodyPartLengthInMilimiters,simple
